City,Price,Beds,Baths,SQFT,LotSize,YearBuilt,Age,Parking,DOM,BeenReduced,LAT,LONG,ShortSale,Validation
Minneapolis,464000,3,1.75,1944,6534,1901,113,2,8,N,44.9468,-93.303047,FALSE,Training
St. Paul,149900,3,1,1321,6969,1917,97,2,77,N,44.964664,-93.03186,FALSE,Training
St. Paul,159900,3,2,1424,6098,1947,67,3,84,N,44.990257,-93.075851,FALSE,Validation
St. Paul,97000,3,1,1094,6098,1946,68,1,49,Y,44.985012,-93.031723,FALSE,Training
St. Paul,159777,3,1.75,1526,6534,1955,59,2,57,N,44.990505,-93.048576,FALSE,Training
St. Paul,164900,3,1.5,1581,7405,1963,51,1,2,N,44.953835,-93.031738,FALSE,Training
St. Paul,149990,4,1.75,1714,6098,1950,64,1,26,N,44.96558,-93.031395,FALSE,Test
St. Paul,152500,5,1.5,1547,6098,1952,62,3,64,N,44.959251,-93.031181,FALSE,Training
Minneapolis,44000,3,1,1311,5227,1900,114,0,3,N,44.996456,-93.316833,FALSE,Test
St. Paul,99900,4,1.25,1008,4356,1940,74,1,13,N,44.990807,-93.071503,FALSE,Training
Minneapolis,142800,4,1.75,1650,5227,1954,60,2,20,Y,44.996414,-93.311142,FALSE,Training
St. Paul,99900,2,2.5,1126,5227,1880,134,6,137,Y,44.964684,-93.031075,FALSE,Training
St. Paul,139900,3,1,1220,4791,1941,73,1,85,N,44.984737,-93.106796,FALSE,Training
St. Paul,182500,4,1.75,1778,6969,1908,106,5,85,Y,44.950935,-93.170158,FALSE,Training
St. Paul,169900,3,1,1453,4791,1939,75,2,137,Y,44.958111,-93.170685,FALSE,Validation
St. Paul,324900,3,1.75,2336,8712,1983,31,6,134,Y,44.991489,-93.05072,FALSE,Training
St. Paul,69000,2,1,832,6969,1926,88,1,70,Y,44.977245,-93.029968,FALSE,Training
St. Paul,194900,2,1,1135,5227,1919,95,2,89,N,44.934013,-93.170959,FALSE,Training
St. Paul,189000,4,1.5,1460,10454,1898,116,5,77,Y,44.97057,-93.029678,FALSE,Training
St. Paul,35900,2,1,734,6534,1913,101,0,8,N,44.969002,-93.029694,FALSE,Test
St. Paul,299900,3,2,1400,5227,1924,90,2,9,N,44.924942,-93.171394,FALSE,Training
St. Paul,168797,3,1.75,1306,5227,1920,94,1,5,Y,44.963371,-93.029305,FALSE,Training
St. Paul,175000,3,1.75,1150,10454,1968,46,2,2,N,44.947945,-93.029167,FALSE,Validation
St. Paul,179900,2,1,1344,4791,1937,77,3,103,Y,44.959538,-93.1716,FALSE,Training
St. Paul,289900,3,2,1635,5227,1921,93,1,2,N,44.931297,-93.171738,FALSE,Validation
St. Paul,39900,2,1.75,1808,6098,1907,107,2,137,Y,44.966999,-93.028969,FALSE,Training
St. Paul,329900,3,1.5,1550,6534,1915,99,1,75,Y,44.933624,-93.171913,FALSE,Test
St. Paul,149900,4,1,1369,4791,1915,99,1,1,N,44.959923,-93.171761,FALSE,Training
St. Paul,84900,3,1.75,1133,8276,1915,99,1,57,Y,,,TRUE,Validation
St. Paul,120000,3,1,1694,4791,1900,114,2,57,N,44.974945,-93.10051,FALSE,Training
St. Paul,204900,4,1.5,2524,9147,1963,51,2,9,N,44.956356,-93.035606,FALSE,Training
St. Paul,145000,4,2,1964,7840,1957,57,1,8,N,44.982666,-93.028503,FALSE,Test
St. Paul,269900,4,1.75,1406,5227,1918,96,2,74,Y,44.928577,-93.172623,FALSE,Training
St. Paul,194900,4,1.5,1408,4791,1912,102,0,119,Y,44.946823,-93.172516,FALSE,Training
St. Paul,149900,3,0.75,1224,3920,1886,128,2,103,Y,44.966194,-93.172638,FALSE,Training
Minneapolis,74900,3,1.5,1178,5227,1920,94,4,137,Y,44.996681,-93.306061,FALSE,Training
Minneapolis,139900,2,1,738,2613,1922,92,1,83,N,44.928806,-93.249084,FALSE,Validation
St. Paul,169900,4,2,1385,4356,1900,114,1,50,Y,44.961342,-93.172729,FALSE,Test
St. Paul,1195000,5,3.25,6247,18295,1908,106,3,137,Y,44.942043,-93.172813,FALSE,Training
St. Paul,99900,3,1,1241,5662,1917,97,1,137,Y,,,FALSE,Training
St. Paul,129900,3,1,1408,7405,1941,73,2,30,Y,44.960636,-93.027626,FALSE,Test
Minneapolis,1100000,4,1.5,1334,5662,1900,114,1,138,N,44.949028,-93.304314,FALSE,Training
St. Paul,299900,3,2,1644,4356,1898,116,2,10,N,44.960831,-93.173164,FALSE,Validation
St. Paul,259900,3,1.75,1692,5227,1919,95,2,76,N,44.928185,-93.173241,FALSE,Training
St. Paul,189900,4,2,2230,11761,1964,50,2,15,N,44.947262,-93.027611,FALSE,Training
St. Paul,99000,3,1,949,10018,1908,106,1,11,N,44.964676,-93.027138,FALSE,Training
St. Paul,145000,3,1.25,1580,6534,1908,106,0,6,N,44.901024,-93.173897,FALSE,Training
St. Paul,259900,4,1.75,2758,6534,1879,135,2,119,Y,44.931992,-93.09288,FALSE,Training
St. Paul,169900,3,1.5,1503,9147,1900,114,2,117,Y,44.929302,-93.092972,FALSE,Test
St. Paul,157000,4,1.5,1702,9626,1907,107,2,119,Y,44.948441,-93.026619,FALSE,Training
St. Paul,162990,4,1.75,2102,6098,1917,97,2,15,N,44.960636,-93.026497,FALSE,Training
St. Paul,70000,2,1,1000,7405,1940,74,1,137,Y,44.977821,-93.026115,TRUE,Training
St. Paul,117500,3,1,1176,4791,1957,57,1,57,Y,44.96608,-93.02597,FALSE,Training
St. Paul,165000,3,1.75,1246,4791,1955,59,1,137,N,44.959534,-93.175064,FALSE,Training
St. Paul,104500,2,1,702,6098,1909,105,1,111,Y,44.900501,-93.175255,FALSE,Test
St. Paul,125000,3,1,1240,5227,1948,66,1,77,Y,44.961704,-93.175385,FALSE,Test
St. Paul,98850,2,1,730,4356,1922,92,1,20,N,44.984989,-93.024475,FALSE,Training
St. Paul,199786,3,2,1403,3484,1983,31,2,75,Y,44.905117,-93.175972,FALSE,Training
St. Paul,140000,3,2,1650,7405,1917,97,2,26,N,44.972363,-93.024307,FALSE,Test
Minneapolis,28250,3,1,1597,6534,1914,100,3,137,Y,44.997574,-93.306061,TRUE,Training
St. Paul,72900,3,1,1177,4791,1939,75,2,77,Y,44.965145,-93.0242,FALSE,Validation
St. Paul,409900,3,2.25,2218,10454,1954,60,2,7,N,44.911331,-93.176208,FALSE,Training
St. Paul,750000,4,3.25,3460,4791,2003,11,2,113,N,44.897522,-93.183685,FALSE,Validation
Minneapolis,129500,3,1.75,1533,4791,1917,97,2,72,Y,44.997787,-93.306602,FALSE,Training
Minneapolis,84900,2,1,940,6534,1926,88,1,33,Y,45.035744,-93.303688,TRUE,Test
St. Paul,39353,1,1.5,972,3920,1915,99,3,77,Y,44.970081,-93.023712,TRUE,Test
St. Paul,99900,2,1,1218,7405,1890,124,2,137,Y,44.964069,-93.092842,FALSE,Validation
St. Paul,384900,4,2,2468,6098,1926,88,2,119,Y,44.936756,-93.177429,FALSE,Test
St. Paul,214900,3,1,1529,4791,1925,89,1,114,Y,44.927692,-93.177414,FALSE,Test
St. Paul,499900,4,2.25,2085,9583,1938,76,2,92,N,44.922318,-93.177513,FALSE,Training
St. Paul,129850,3,1,1123,4791,1940,74,0,22,N,44.964638,-93.023117,FALSE,Validation
St. Paul,129850,2,1.5,1527,4356,1914,100,3,49,N,44.970554,-93.022949,FALSE,Training
St. Paul,149900,4,1.5,1192,5662,1952,62,1,4,N,44.988602,-93.022896,FALSE,Training
St. Paul,329900,3,2.75,1859,5227,1922,92,2,5,N,44.935455,-93.17794,FALSE,Test
St. Paul,145000,3,1.75,1628,4791,1961,53,2,57,N,44.978676,-93.022942,TRUE,Training
St. Paul,129500,4,1.75,1422,4791,1930,84,1,137,Y,44.966042,-93.022285,FALSE,Training
St. Paul,62000,2,1,728,4791,1921,93,2,41,Y,44.978676,-93.022255,FALSE,Training
St. Paul,76000,2,1,660,4791,1925,89,1,119,Y,44.977257,-93.022263,FALSE,Training
St. Paul,128000,3,1.75,1645,4791,1938,76,2,137,N,44.978676,-93.022102,TRUE,Test
St. Paul,146900,3,2,2020,5227,1930,84,1,137,Y,44.985382,-93.021698,FALSE,Validation
St. Paul,239900,2,1,1324,5227,2004,10,2,137,N,44.910278,-93.150124,FALSE,Training
St. Paul,109900,2,1,1086,4791,1951,63,1,99,Y,44.963734,-93.021523,FALSE,Training
St. Paul,155900,3,1.5,1255,5227,1908,106,2,6,N,44.919842,-93.077484,FALSE,Validation
St. Paul,199850,2,1,826,5227,1922,92,1,35,N,44.934566,-93.179398,FALSE,Training
St. Paul,1799000,5,4.25,5702,27442,1928,86,3,135,N,44.940956,-93.179634,FALSE,Validation
St. Paul,449900,4,1.75,2514,6098,1927,87,1,77,Y,44.930931,-93.179855,FALSE,Training
St. Paul,165000,3,1.75,1529,4791,1967,47,2,11,N,44.956486,-93.020775,FALSE,Validation
St. Paul,279000,3,1.5,1568,5662,1912,102,2,118,Y,44.898327,-93.180298,FALSE,Training
Minneapolis,150000,3,2,1486,5227,1923,91,1,7,N,45.005375,-93.304611,FALSE,Training
